site_id,ptype,polygon,product_id,sensor,datetime_utc,local_solar_hour,t_poly_k,t_bg_k,delta_t_k,t_poly_sd_k,t_bg_sd_k,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg,scene_cloud_cover,sun_elev_deg,qa_flags,t2m_k,d2m_k,u10,v10,ta_c,td_c,rh_pct,wind_ms,q_kgkg,tw_c,capacity_mw,capacity_basis,capacity_tier,capacity_source,n_valid_poly_strict,view_zenith_deg,day_night
lulea,hall,hall_north,LC08_L1TP_194014_20150127_20170413_01_T1,L8_C1_L1TP_BT_B10,2015-01-27T10:05:06.550763+00:00,11.559,262.568,259.458,3.11,0.291,2.229,61,61,6636,8861,5.58,5.45913191,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",268.678,266.437,4.302,0.614,-4.472,-6.713,84.34,4.346,0.002281,-5.701,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150127_20170413_01_T1,L8_C1_L1TP_BT_B10,2015-01-27T10:05:06.550763+00:00,11.559,260.277,259.458,0.82,0.603,2.229,85,87,6636,8861,5.58,5.45913191,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",268.678,266.437,4.302,0.614,-4.472,-6.713,84.34,4.346,0.002281,-5.701,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_193014_20150309_20170412_01_T1,L8_C1_L1TP_BT_B10,2015-03-09T09:58:38.354151+00:00,11.451,274.526,273.49,1.036,0.193,0.501,61,61,8840,8861,15.57,19.38237769,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.578,270.527,6.387,2.952,3.428,-2.623,64.57,7.036,0.003107,0.441,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_193014_20150309_20170412_01_T1,L8_C1_L1TP_BT_B10,2015-03-09T09:58:38.354151+00:00,11.451,273.403,273.49,-0.087,0.204,0.501,85,87,8840,8861,15.57,19.38237769,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.578,270.527,6.387,2.952,3.428,-2.623,64.57,7.036,0.003107,0.441,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150316_20170412_01_T1,L8_C1_L1TP_BT_B10,2015-03-16T10:04:44.909993+00:00,11.553,275.676,274.404,1.272,0.335,0.697,61,61,8861,8861,0.01,22.16653724,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.695,269.042,2.387,4.254,3.545,-4.108,57.32,4.878,0.00278,0.037,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150316_20170412_01_T1,L8_C1_L1TP_BT_B10,2015-03-16T10:04:44.909993+00:00,11.553,275.021,274.404,0.617,0.371,0.697,87,87,8861,8861,0.01,22.16653724,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.695,269.042,2.387,4.254,3.545,-4.108,57.32,4.878,0.00278,0.037,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_193014_20150325_20170411_01_T1,L8_C1_L1TP_BT_B10,2015-03-25T09:58:29.722419+00:00,11.449,270.472,269.394,1.078,0.262,1.198,61,61,8385,8861,39.97,25.75927678,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",271.906,260.187,3.382,1.631,-1.244,-12.963,40.56,3.755,0.001393,-4.938,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_193014_20150325_20170411_01_T1,L8_C1_L1TP_BT_B10,2015-03-25T09:58:29.722419+00:00,11.449,271.743,269.394,2.349,0.64,1.198,87,87,8385,8861,39.97,25.75927678,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",271.906,260.187,3.382,1.631,-1.244,-12.963,40.56,3.755,0.001393,-4.938,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150419_20170409_01_T1,L8_C1_L1TP_BT_B10,2015-04-19T09:52:10.283529+00:00,11.344,278.966,278.348,0.618,0.688,2.361,61,61,8132,8861,67.91,35.22384053,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.144,272.878,4.66,-2.496,7.994,-0.272,55.93,5.287,0.003693,3.874,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150419_20170409_01_T1,L8_C1_L1TP_BT_B10,2015-04-19T09:52:10.283529+00:00,11.344,284.018,278.348,5.67,1.434,2.361,87,87,8132,8861,67.91,35.22384053,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",281.144,272.878,4.66,-2.496,7.994,-0.272,55.93,5.287,0.003693,3.874,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_193014_20150426_20170409_01_T1,L8_C1_L1TP_BT_B10,2015-04-26T09:58:16.938018+00:00,11.445,275.247,276.745,-1.498,0.376,2.227,61,61,8764,8861,32.75,37.58586778,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.856,268.037,-6.916,-0.979,3.706,-5.113,52.55,6.985,0.002577,-0.143,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_193014_20150426_20170409_01_T1,L8_C1_L1TP_BT_B10,2015-04-26T09:58:16.938018+00:00,11.445,280.829,276.745,4.084,1.472,2.227,87,87,8764,8861,32.75,37.58586778,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",276.856,268.037,-6.916,-0.979,3.706,-5.113,52.55,6.985,0.002577,-0.143,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150620_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-06-20T10:04:27.887733+00:00,11.548,290.153,292.206,-2.053,0.649,2.258,61,61,8861,8861,57.87,47.4452383,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.48,277.727,-2.397,-0.046,14.33,4.577,51.91,2.398,0.005224,9.035,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150620_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-06-20T10:04:27.887733+00:00,11.548,297.05,292.206,4.844,1.925,2.258,87,87,8861,8861,57.87,47.4452383,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.48,277.727,-2.397,-0.046,14.33,4.577,51.91,2.398,0.005224,9.035,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150622_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-06-22T09:52:06.633684+00:00,11.343,292.823,294.473,-1.65,0.513,2.053,61,61,6987,8861,33.72,47.43998771,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",289.265,285.189,-2.324,0.38,16.115,12.039,76.78,2.355,0.008687,13.434,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150622_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-06-22T09:52:06.633684+00:00,11.343,298.995,294.473,4.522,1.733,2.053,87,87,6987,8861,33.72,47.43998771,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",289.265,285.189,-2.324,0.38,16.115,12.039,76.78,2.355,0.008687,13.434,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150706_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-07-06T10:04:36.835770+00:00,11.551,287.711,289.482,-1.771,0.455,1.864,61,61,8858,8861,30.57,46.64498846,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.333,278.653,-1.692,6.55,14.183,5.503,55.9,6.765,0.005573,9.339,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150706_20170407_01_T1,L8_C1_L1TP_BT_B10,2015-07-06T10:04:36.835770+00:00,11.551,292.703,289.482,3.221,1.409,1.864,69,87,8858,8861,30.57,46.64498846,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.333,278.653,-1.692,6.55,14.183,5.503,55.9,6.765,0.005573,9.339,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150724_20170406_01_T1,L8_C1_L1TP_BT_B10,2015-07-24T09:52:23.376351+00:00,11.347,290.695,292.417,-1.722,0.357,2.319,61,61,6557,8861,28.58,43.8111393,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",290.741,281.616,-2.038,-2.577,17.591,8.466,55.08,3.285,0.006834,12.251,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150724_20170406_01_T1,L8_C1_L1TP_BT_B10,2015-07-24T09:52:23.376351+00:00,11.347,294.788,292.417,2.372,1.373,2.319,87,87,6557,8861,28.58,43.8111393,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",290.741,281.616,-2.038,-2.577,17.591,8.466,55.08,3.285,0.006834,12.251,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150807_20170406_01_T1,L8_C1_L1TP_BT_B10,2015-08-07T10:04:46.958662+00:00,11.554,289.428,290.504,-1.076,0.67,2.305,61,61,4629,8861,46.61,40.40895266,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",291.617,287.344,0.634,2.089,18.467,14.194,76.18,2.183,0.010008,15.598,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150807_20170406_01_T1,L8_C1_L1TP_BT_B10,2015-08-07T10:04:46.958662+00:00,11.554,295.172,290.504,4.668,1.805,2.305,87,87,4629,8861,46.61,40.40895266,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",291.617,287.344,0.634,2.089,18.467,14.194,76.18,2.183,0.010008,15.598,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150823_20170405_01_T1,L8_C1_L1TP_BT_B10,2015-08-23T10:04:55.464447+00:00,11.556,292.326,293.819,-1.493,0.385,1.533,61,61,8861,8861,23.89,35.52338948,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",291.2,287.898,-1.105,0.744,18.05,14.748,81.05,1.332,0.010375,15.782,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150823_20170405_01_T1,L8_C1_L1TP_BT_B10,2015-08-23T10:04:55.464447+00:00,11.556,297.806,293.819,3.987,1.548,1.533,87,87,8861,8861,23.89,35.52338948,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",291.2,287.898,-1.105,0.744,18.05,14.748,81.05,1.332,0.010375,15.782,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150825_20170405_01_T1,L8_C1_L1TP_BT_B10,2015-08-25T09:52:34.520224+00:00,11.35,292.839,293.797,-0.958,0.327,1.33,61,61,8861,8861,13.34,34.85636024,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",292.314,287.125,-0.73,1.43,19.164,13.975,71.9,1.606,0.009866,15.735,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150825_20170405_01_T1,L8_C1_L1TP_BT_B10,2015-08-25T09:52:34.520224+00:00,11.35,297.886,293.797,4.089,1.49,1.33,87,87,8861,8861,13.34,34.85636024,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",292.314,287.125,-0.73,1.43,19.164,13.975,71.9,1.606,0.009866,15.735,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_194014_20150908_20170404_01_T1,L8_C1_L1TP_BT_B10,2015-09-08T10:05:01.315221+00:00,11.558,283.59,284.139,-0.549,0.25,1.013,61,61,7848,8861,6.08,29.88669833,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.718,276.823,1.193,-4.908,12.568,3.673,54.65,5.05,0.004902,7.785,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_194014_20150908_20170404_01_T1,L8_C1_L1TP_BT_B10,2015-09-08T10:05:01.315221+00:00,11.558,287.375,284.139,3.236,1.183,1.013,87,87,7848,8861,6.08,29.88669833,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.718,276.823,1.193,-4.908,12.568,3.673,54.65,5.05,0.004902,7.785,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150910_20170404_01_T1,L8_C1_L1TP_BT_B10,2015-09-10T09:52:40.884005+00:00,11.352,287.705,288.51,-0.804,0.239,1.053,61,61,8861,8861,0.0,29.14803555,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.905,280.327,0.639,-0.965,14.755,7.177,60.46,1.157,0.006257,10.347,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150910_20170404_01_T1,L8_C1_L1TP_BT_B10,2015-09-10T09:52:40.884005+00:00,11.352,291.703,288.51,3.193,1.481,1.053,87,87,8861,8861,0.0,29.14803555,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",287.905,280.327,0.639,-0.965,14.755,7.177,60.46,1.157,0.006257,10.347,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_north,LC08_L1TP_192014_20150926_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-09-26T09:52:47.575522+00:00,11.354,283.726,284.077,-0.35,0.141,0.543,61,61,8856,8861,15.34,23.06247163,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.494,279.486,4.157,1.907,12.344,6.336,66.75,4.573,0.005905,8.817,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
lulea,hall,hall_south,LC08_L1TP_192014_20150926_20170403_01_T1,L8_C1_L1TP_BT_B10,2015-09-26T09:52:47.575522+00:00,11.354,285.87,284.077,1.793,0.846,0.543,85,87,8856,8861,15.34,23.06247163,"cloud_conf>=2|shadow_conf>=2|cirrus_conf>=3|bg_classes=10,30",285.494,279.486,4.157,1.907,12.344,6.336,66.75,4.573,0.005905,8.817,120.0,grid_connection,A2,Facebook/Vattenfall/Luleå Energi statements at opening: facility requires 120 MW (DCK 2013; The Register 2013),,,
