site_id,ptype,polygon,product_id,sensor,datetime_utc,local_solar_hour,t_poly_k,t_bg_k,delta_t_k,t_poly_sd_k,t_bg_sd_k,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg,n_valid_poly_strict,scene_cloud_cover,sun_elev_deg,view_zenith_deg,day_night,qa_flags,capacity_mw,capacity_basis,capacity_tier,capacity_source,t2m_k,d2m_k,u10,v10,ta_c,td_c,rh_pct,wind_ms,q_kgkg,tw_c
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20212_007_15SYU_20220128T201459_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-01-28T20:14:59+00:00,14.239,284.945,282.387,2.558,0.324,3.578,12,12,1887,1943,12,3.12,29.282,13.8,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",279.96824645996094,266.36793518066406,4.3946380615234375,-4.028470039367676,6.8182,-6.7821,37.2728,5.9617,0.0023,1.3961
colossus_memphis,cooling,hall_surround,ECOv002_L2T_LSTE_20212_007_16SBD_20220128T201459_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-01-28T20:14:59+00:00,14.239,284.241,282.423,1.818,0.445,3.582,38,38,1876,1934,38,2.98,29.282,13.8,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",279.96824645996094,266.36793518066406,4.3946380615234375,-4.028470039367676,6.8182,-6.7821,37.2728,5.9617,0.0023,1.3961
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20212_007_16SBD_20220128T201459_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-01-28T20:14:59+00:00,14.239,282.79,282.423,0.367,1.384,3.582,24,24,1876,1934,24,2.98,29.282,13.8,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",279.96824645996094,266.36793518066406,4.3946380615234375,-4.028470039367676,6.8182,-6.7821,37.2728,5.9617,0.0023,1.3961
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20334_007_15SYU_20220205T170324_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-05T17:03:24+00:00,11.046,277.912,276.241,1.671,0.475,0.977,12,12,1943,1943,12,0.0,36.13,5.77,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",273.78907775878906,265.62403869628906,-0.5742950439453125,-1.2718143463134766,0.6391,-7.526,54.3656,1.3955,0.0022,-2.7135
colossus_memphis,cooling,hall_surround,ECOv002_L2T_LSTE_20334_007_16SBD_20220205T170324_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-05T17:03:24+00:00,11.046,276.59,276.259,0.331,0.644,1.01,38,38,1934,1934,38,0.0,36.13,5.76,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",273.78907775878906,265.62403869628906,-0.5742950439453125,-1.2718143463134766,0.6391,-7.526,54.3656,1.3955,0.0022,-2.7135
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20334_007_15SYU_20220205T170324_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-05T17:03:24+00:00,11.046,277.263,276.241,1.022,0.935,0.977,24,24,1943,1943,24,0.0,36.13,5.77,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",273.78907775878906,265.62403869628906,-0.5742950439453125,-1.2718143463134766,0.6391,-7.526,54.3656,1.3955,0.0022,-2.7135
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20395_006_15SYU_20220209T152714_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-09T15:27:14+00:00,9.444,284.413,284.365,0.048,0.826,1.073,12,12,1943,1943,12,0.0,26.197,5.68,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",280.0247802734375,273.96385192871094,1.968719482421875,1.5032196044921875,6.8748,0.8139,65.3107,2.477,0.004,3.6553
colossus_memphis,cooling,hall_surround,ECOv002_L2T_LSTE_20395_006_16SBD_20220209T152714_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-09T15:27:14+00:00,9.444,284.787,284.368,0.419,0.798,1.067,38,38,1934,1934,38,0.0,26.197,5.68,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",280.0247802734375,273.96385192871094,1.968719482421875,1.5032196044921875,6.8748,0.8139,65.3107,2.477,0.004,3.6553
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20395_006_16SBD_20220209T152714_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-09T15:27:14+00:00,9.444,283.124,284.368,-1.243,1.254,1.067,24,24,1934,1934,24,0.0,26.197,5.68,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",280.0247802734375,273.96385192871094,1.968719482421875,1.5032196044921875,6.8748,0.8139,65.3107,2.477,0.004,3.6553
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20491_010_15SYU_20220215T202316_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-15T20:23:16+00:00,14.377,295.435,293.866,1.569,0.685,1.572,12,12,1943,1943,12,0.0,33.266,19.25,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",0.5,placeholder,A2,"Pre-conversion placeholder lower bound (former Electrolux appliance plant, closed 2023-24); for the within-site step test only",290.58091735839844,277.40415954589844,0.7738800048828125,4.8878326416015625,17.4309,4.2542,41.6329,4.9487,0.0051,10.4407
